指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
买入价格说明,建议买入价格基于以下因素综合计算：
1. 支撑位(30%),参考近期最低价位
2. 均线价格(20%),参考MA5和MA20的均值
3. 布林带支撑(30%),参考布林带下轨
4. VWAP(20%),参考近5日成交量加权平均价
,建议在价格区间内分批建仓
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,建议买入价,建议价格区间,市值(亿),日成交额(亿),买入理由
002353,杰瑞股份,0.39,35.2,,,360.7,3.11,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
600436,片仔癀,0.39,226.0,,,1363.32,6.52,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
600096,云天化,0.38,21.64,,,397.13,5.86,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
002850,科达利,0.38,99.99,,,270.5,3.19,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
600406,国电南瑞,0.37,24.8,,,1992.94,4.64,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
002223,鱼跃医疗,0.37,33.91,,,339.94,3.71,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
000895,双汇发展,0.37,25.42,,,881.06,5.48,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
000921,海信家电,0.37,27.31,,,378.24,3.36,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600208,衢州发展,0.37,3.4,,,288.45,18.25,MACD金叉；成交量放大；ADX强势；TRIX上升；EMV上升
600941,中国移动,0.37,108.16,,,23247.08,12.25,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601799,星宇股份,0.36,131.0,,,373.87,2.49,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
601000,唐山港,0.36,4.53,,,268.44,2.49,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
600031,三一重工,0.36,16.87,,,1429.73,8.1,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
001965,招商公路,0.36,12.25,,,836.17,3.05,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
002352,顺丰控股,0.36,40.42,,,2016.41,8.45,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
000039,中集集团,0.35,8.07,,,435.72,2.18,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
600060,海信视像,0.35,19.01,,,248.21,1.95,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
002001,新 和 成,0.34,21.38,,,661.15,4.27,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
603392,万泰生物,0.34,76.87,,,972.63,5.31,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
601998,中信银行,0.34,7.15,,,3868.01,8.59,MACD金叉；成交量放大；TRIX上升；OBV上升趋势；EMV上升
600066,宇通客车,0.34,23.55,,,521.16,13.19,MACD金叉；成交量放大；OBV上升趋势；EMV上升
000983,山西焦煤,0.33,8.18,,,464.39,3.55,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
002532,天山铝业,0.33,8.06,,,374.94,3.99,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归；OBV上升趋势；WR超卖；EMV上升
601600,中国铝业,0.32,7.64,,,1309.04,16.26,价格接近布林带下轨；RSI超卖；成交量放大；OBV上升趋势；WR超卖；EMV上升
600886,国投电力,0.32,16.14,,,1203.1,7.41,MACD金叉；成交量放大；OBV上升趋势；EMV上升
600089,特变电工,0.32,13.05,,,659.89,6.55,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
000999,华润三九,0.32,44.94,,,577.16,5.95,价格接近布林带下轨；RSI超卖；成交量放大；CCI回归；WR超卖；EMV上升
002432,九安医疗,0.32,42.19,,,206.86,2.43,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
000792,盐湖股份,0.32,17.41,,,945.86,5.05,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601229,上海银行,0.32,8.47,,,1204.73,5.8,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002261,拓维信息,0.32,20.03,,,251.9,13.36,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
002064,华峰化学,0.32,8.26,,,409.91,2.4,价格接近布林带下轨；KDJ超卖；ADX强势；WR超卖；EMV上升
002583,海能达,0.32,17.2,,,312.96,29.13,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600015,华夏银行,0.32,7.71,,,1227.04,4.65,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002456,欧菲光,0.31,13.6,,,450.7,29.59,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
002714,牧原股份,0.31,40.23,,,2198.17,9.47,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601138,工业富联,0.31,21.82,,,4337.16,20.31,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600745,闻泰科技,0.31,36.42,,,452.85,23.45,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
